min_insync_replicas,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
3,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1295,44010.43397683398,42480.0,27025.199061869494,6176.0,31788.0,53128.0,462888.0
3,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1296,44684.37654320987,40804.0,67125.6929975507,6208.0,30748.0,52800.0,2127912.0
4,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,52902.96296296296,51236.0,49623.22253369139,6248.0,38188.0,60782.0,887600.0
4,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,45015.2962962963,45024.0,13193.981291468315,6784.0,34686.0,55310.0,76272.0
4,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,43859.42592592593,41964.0,30835.34285289567,14352.0,30380.0,53740.0,614704.0
3,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1296,6228.699588477367,0.0,19863.843485708017,0.0,0.0,10094.8,310042.6666666667
3,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1294,8094.025347758887,0.0,22787.6256815495,0.0,0.0,13743.6,394941.3333333333
3,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1295,6882.62918918919,0.0,25223.737422107526,0.0,0.0,8482.400000000001,387916.8
4,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,432,7354.267592592593,8.0,28064.89066355806,0.0,0.0,6488.4,310771.2
4,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,432,8151.988888888888,0.0,25826.70459573641,0.0,0.0,8890.0,287550.4
4,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,432,8308.625925925926,0.0,38753.02251609107,0.0,0.0,4455.6,449915.2
3,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,1296,6254339.922633744,1731350.9333333333,7976876.1721801525,15073.6,255573.2,11833608.8,41124512.0
