producer_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,575,10.93126372089731,10.886146788990825,0.7947054650262627,8.925108401084012,10.350076923076923,11.392232704402517,13.466129032258063
1,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,10.925401430228517,10.70120859671302,1.0594910442496923,8.407913931186195,10.087801948051949,11.547706731337986,14.549901960784313
6,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,19.57560232191533,18.94750414593699,6.0234045430392085,9.861538461538462,14.592424659172448,24.58027010892334,33.33946666666663
6,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,18.32882183968485,18.422762435154105,4.479930781538786,9.14377170466556,14.587794117647059,21.687749999999998,28.78205128205128
6,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,20.484122058750444,19.325839285714284,6.099802126081448,11.65,15.772032510080646,25.22428912319645,33.27775147928994
12,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,27.402637919312657,24.677467261904763,9.965325021424468,7.758363430542827,19.7898086406518,36.59945599413866,49.64408602150537
12,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,24.305522225183864,23.01405339265851,7.506032228822225,9.407138537138536,18.1115841813136,30.887276785714285,39.27390804597701
12,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,28.20955265333071,25.271773210070812,9.86822770618618,8.918236029540036,20.667386101277522,36.74682145137263,50.044405940594054
1,mtls,broker_memory_used_percent_mean,Broker memory %,576,23.10929677435333,23.397199683172023,1.3713324351184553,12.408526294990724,23.001262223459015,23.600819187430744,24.93820518145855
1,plaintext,broker_memory_used_percent_mean,Broker memory %,576,23.34194546396692,23.399849329000983,0.9517202104029567,12.832862211760968,23.052729120626395,23.887313495598733,24.83018833071431
1,tls,broker_memory_used_percent_mean,Broker memory %,576,23.204304798911956,23.604166824334136,1.4467330625248496,12.689896058735837,23.189306574636994,23.81244456507272,25.11084886931466
6,mtls,broker_memory_used_percent_mean,Broker memory %,576,23.250962326156817,23.463942895522877,0.7534266754789268,15.5842060974034,23.08052653133036,23.67375460190461,24.35001970105579
6,plaintext,broker_memory_used_percent_mean,Broker memory %,575,23.432952186338138,23.45962560777428,0.5734341914028297,19.00183596360067,23.12781498643364,23.918059005252502,24.4645829341576
6,tls,broker_memory_used_percent_mean,Broker memory %,576,23.350374418767565,23.67619065716736,0.9376852221116845,17.308972771637485,23.223021116845196,23.865896218016864,24.53018451180718
12,mtls,broker_memory_used_percent_mean,Broker memory %,576,23.28743709666555,23.451367678257093,0.5812713686764216,20.17872630648508,23.059747443909238,23.732683708578282,24.116548442704644
12,plaintext,broker_memory_used_percent_mean,Broker memory %,575,23.455322445790713,23.490958028582256,0.5061534818693005,20.664684940955812,23.13099984628459,23.91520928251572,24.146118557666483
12,tls,broker_memory_used_percent_mean,Broker memory %,575,23.379654169924667,23.625051164968976,0.8289005933842816,20.30269578311196,23.229214318446875,23.891336681080563,24.35496801650052
1,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,18307805.479166668,11402433.0,15221392.70869699,645808.0,4697827.5,34604330.0,41118773.0
1,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,575,15183113.88173913,14576136.0,12812795.434382854,419475.0,3206883.5,28879193.5,37888000.0
1,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,18275303.614583332,17014359.0,15211107.982009115,589965.0,4540060.5,34762555.25,59602216.0
6,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,24446752.487847224,24617315.0,14505943.241154427,777127.0,14999337.5,39610117.75,42057046.0
6,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,19712349.786458332,21508958.0,11815465.429086275,468031.0,12131661.25,31796316.75,34476212.0
6,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,23984306.78125,23919016.0,14477883.837562535,687225.0,14167900.75,39404802.75,45218446.0
12,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,24306640.184027776,21779721.5,15126015.86987277,1054946.0,16122748.5,40366967.0,85183486.0
12,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,19213126.796875,18706660.5,12017035.382914374,325067.0,11200516.0,31561636.25,34729906.0
12,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,23705739.017361112,21299293.0,14930328.67622021,900814.0,12826199.0,40014899.75,42718538.0
1,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,576,3856321208.8350697,1056875372.5,4641358107.743882,104959336.0,112334207.0,10393365024.75,10425464868.0
1,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,575,3840473933.6869564,1051503265.0,4625308095.475106,104425732.0,108486600.0,10347930761.5,10362115067.0
1,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,576,3856799786.5069447,1056722238.5,4641710743.618166,104919065.0,112296169.5,10394407877.0,10415569327.0
6,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,576,3868030598.357639,1071976419.0,4641125409.661614,104877612.0,145506416.25,10399399956.25,10446080526.0
