throughput_limit_records_per_sec,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1000,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,863,3847801669.655852,1061981328.0,4621478651.474031,108105053.0,126425136.5,10350601569.0,10380664469.0
1000,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3869779322.361111,1077005242.5,4637383644.389109,111680797.0,141310506.75,10397293205.25,10440344176.0
10000,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3869075006.201389,1055985118.0,4676343986.272621,104877612.0,107531352.25,10397317696.25,20803907662.0
10000,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3836646209.9409723,1044495164.5,4626277639.602467,104343590.0,106100507.25,10351370422.5,10388416306.0
10000,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3857297590.1238427,1056134725.0,4646580922.519163,104768322.0,107477118.75,10397837666.5,10439405245.0
1000,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3487009508.276697,1068174003.2,4304048810.750935,68203244.8,146164761.4,7285375230.1,10419732186.0
1000,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3464602192.1358824,1061643455.0,4281541862.4738064,66504317.4,135333803.63333333,8272702116.1,10359020931.4
1000,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3489468389.5974116,1066957644.6666666,4305802342.5643015,67838868.4,145744169.4,8322682137.933332,10419640017.0
10000,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3456021932.3309417,1041551408.7,4304771833.977137,63100372.8,107683972.41666666,6852977268.983334,20865416273.0
10000,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3418921052.1219773,1035778069.8,4239813374.464384,62721307.8,106611844.46666665,6982106664.5,10356977201.8
10000,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3449420542.441821,1041490228.0,4277753223.1014524,63015116.4,107654939.95,6832817161.1,10424855738.0
1000,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2601265649.6884255,793814546.6,3258699536.11207,47467379.0,124741504.45,4887597965.133333,8373920866.6
1000,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2581252005.296756,834462329.6,3236728736.2645235,46161795.2,115229038.1,5537455804.466666,8316650711.2
1000,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2602936736.499073,840656340.0,3259875718.1418266,47138916.6,122824130.9,5580193640.55,8371194840.4
10000,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2567651732.772531,783540701.6,3256561412.452953,42488890.4,86552330.25,4453878714.616667,16778933534.6
10000,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2534153959.6180763,830804367.8,3200134994.294326,42081991.0,85316751.5,4242603567.7333336,8314912632.0
10000,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2563277031.9273143,783523528.5,3233861263.3076787,42380876.4,86494259.25,4432228117.4,8372580494.8
1000,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15499046917.097221,4254593706.5,19517151367.532795,339232253.0,720444063.75,31226754161.0,52098660930.0
1000,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,15397212826.626883,3231003687.0,19414260974.525326,330644674.0,666419022.0,31036833540.5,51795104657.0
1000,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,15499278697.636152,5225313077.0,19517678317.103798,339194342.0,711109251.5,31224624045.5,52098200085.0
10000,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15375099222.83449,4241248772.5,19573566156.679237,314611641.0,535660285.0,31226255870.25,104327081365.0
10000,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,15217878254.200464,5175854797.0,19275194034.677708,313046022.0,531997211.0,31037232536.5,51784886009.0
10000,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,15340937647.731482,4240975989.0,19418303821.100716,314480664.0,535142020.25,31224040580.0,52097499977.0
1000,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11704765472.80324,3226478588.0,15230694708.997515,235643040.0,623707522.25,20951886920.75,41869604333.0
1000,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,11612551934.644264,2214783725.0,15128980796.56818,228638648.0,576145190.5,20780850023.0,41583253556.0
1000,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,11705109640.50985,4203281700.0,15232840434.901274,235694583.0,614120654.5,20948422698.5,41855974202.0
10000,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11567682680.090279,3213450987.0,15257539036.698816,211416566.0,432761651.25,20948152273.25,83894667673.0
10000,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,11426897819.494785,4154021839.0,15000153139.971647,209739340.0,426583757.5,20779657439.0,41574563160.0
10000,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,11544900867.159721,3213405417.0,15132743309.719454,211299260.0,432471296.25,20944237441.0,41862902474.0
1000,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,2.7314814814814814,0.0,42.611315329399396,0.0,0.0,0.0,904.0
