acks,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
all,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,4985.51975308642,0.0,11355.749155912024,0.0,0.0,8298.0,142380.8
1,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6447269.50617284,1736210.4,8171742.832303107,15073.6,257185.2,13005094.133333333,41124512.0
1,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6384698.042592593,1728856.5333333332,8063114.524154754,16656.0,263689.2,12867400.8,20373170.666666668
1,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,6409235.361915798,1744850.6666666667,8071042.953830094,17988.8,258192.0,13934968.266666666,20241546.666666668
all,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6480191.225925926,1720122.4,8183063.013643186,28752.0,257209.59999999998,13880215.733333332,21605782.4
all,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,862,6458136.382985305,1699006.9333333333,8173601.141808772,26384.0,265376.6666666667,17338203.6,20611715.2
all,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6435512.572839505,1706638.4,8141480.760935077,18505.6,258108.80000000005,13689604.0,20574584.0
1,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,37596.09375,0.0,137851.06133943633,0.0,0.0,43410.0,1553856.0
1,plaintext,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,43467.12037037037,0.0,139828.30169984646,0.0,0.0,62706.0,1437752.0
1,tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,863,44209.67786790267,0.0,193706.10289463325,0.0,0.0,26540.0,2249576.0
all,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,20695.59375,0.0,44996.96762172906,0.0,0.0,34376.0,749968.0
